npp_mean,npp_std,npp_count,date
1127.0496083550913,375.26708350451895,383,1996-11-01
,,0,1996-11-02
612.4034837235865,255.10559110872882,3502,1996-11-03
610.1162193032553,249.34525208992795,3502,1996-11-04
,,0,1996-11-05
590.0517695232525,236.64689291542913,3419,1996-11-06
604.8246716162193,251.09510824250623,3502,1996-11-07
601.9574528840662,249.8174860103424,3502,1996-11-08
,,0,1996-11-09
599.8512278697887,262.5057979777515,3502,1996-11-10
607.8503712164478,245.98752109664127,3502,1996-11-11
584.4725870930897,245.21902403994372,3502,1996-11-12
,,0,1996-11-13
523.6501998857796,233.11956162011444,3502,1996-11-14
534.438892061679,238.61609282538862,3502,1996-11-15
,,0,1996-11-16
,,0,1996-11-17
512.3012564249001,176.67934796483485,3502,1996-11-18
,,0,1996-11-19
,,0,1996-11-20
,,0,1996-11-21
568.1996002284409,203.7185852770334,3502,1996-11-22
557.5416904625928,190.04426534559258,3502,1996-11-23
,,0,1996-11-24
,,0,1996-11-25
638.7824100513992,210.84712483310776,3502,1996-11-26
635.1985710032748,214.51645920341318,3359,1996-11-27
,,0,1996-11-28
,,0,1996-11-29
534.7147344374644,192.86629802747024,3502,1996-11-30
,,0,1996-12-01
,,0,1996-12-03
514.0162764134781,180.96023782422293,3502,1996-12-04
,,0,1996-12-05
565.0279840091376,211.3843841656568,3502,1996-12-06
519.1876070816676,187.25831843929845,3502,1996-12-07
577.0808109651628,270.7540162772086,3502,1996-12-08
,,0,1996-12-09
,,0,1996-12-10
627.2833712984054,462.3199701293833,2195,1996-12-11
,,0,1996-12-12
,,0,1996-12-13
,,0,1996-12-14
,,0,1996-12-15
,,0,1996-12-16
609.4268792710706,451.81765780700334,2195,1996-12-17
,,0,1996-12-18
622.584965831435,463.3133473309139,2195,1996-12-19
,,0,1996-12-20
472.61731207289296,351.85823179393964,2195,1996-12-21
587.1020501138952,438.3011649834681,2195,1996-12-22
527.7341519131925,342.78375527839944,3502,1996-12-23
,,0,1996-12-24
466.71159337521414,301.7528161474474,3502,1996-12-25
401.2378640776699,269.45498478096044,3502,1996-12-26
,,0,1996-12-27
,,0,1996-12-28
365.20559680182754,90.58867692334753,3502,1996-12-29
384.3555111364934,98.29417785088698,3502,1996-12-30
,,0,1996-12-31
417.92033123929184,110.87371556454873,3502,1997-01-01
